impl_model,formatted
base_rm Claude Opus 4.6,"91 [56, 155]"
base_rm Claude Sonnet 4.6,"68 [52, 83]"
base_rm Claude Haiku 4.5,"23 [23, 23]"
rag_agent Claude Opus 4.6,"263 [256, 268]"
rag_agent Claude Sonnet 4.6,"331 [300, 352]"
rag_agent Claude Haiku 4.5,"24 [23, 25]"
evg_unopt Claude Opus 4.6,"673 [626, 733]"
evg_opt Claude Opus 4.6,"177 [163, 201]"
evg_opt Claude Sonnet 4.6,"90 [88, 91]"
evg_opt Claude Haiku 4.5,"77 [74, 82]"
evg_opt Llama 4 Maverick,"73 [69, 80]"
evg_opt Llama 4 Scout,"44 [43, 45]"
evg_opt Llama 3.1 8B,"52 [46, 55]"
